"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Benin","BEN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.27257948","4.48538131","4.18363091","4.1662372","4.21371351","4.02721532","4.07914606","3.96096526","3.69621279","3.86436185","4.11092841","4.24350868","4.66542805","3.90679093","3.64550634","3.99190103","","",
"Burkina Faso","BFA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.31816107","3.24853099","3.34162976","3.5350137","4.7430957","4.44379706","5.07741606","5.88637817","5.22738885","5.71526658","5.8929595","5.20144013","4.89312958","6.0598732","5.5543054","5.446772","","",
"Bangladesh","BGD","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.40333094","2.39441168","2.62178904","2.67963902","2.71434547","2.80035721","2.48439623","2.55897935","2.48848265","2.56097864","2.68101159","2.78282985","2.74823467","2.65446803","2.65588312","2.63947252","","",
"Bulgaria","BGR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8708527","6.91216546","7.13596914","7.25556114","6.94398137","6.94420055","6.57317955","6.15947624","6.29068295","6.61345274","7.10581466","7.14387251","7.59139434","7.84915068","8.51112283","8.20309288","","",
"Bahrain","BHR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.42253171","3.67297926","3.72774322","3.5651135","3.1663665","2.9649701","2.88185619","2.88082811","2.85197916","3.4509613","3.28622345","3.05625365","4.16341465","4.26015603","4.6204032","5.15597207","","",
"Bahamas, The","BHS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.10465948","5.07929631","5.23139157","5.51133273","5.87786473","5.86539039","6.79171459","6.97199477","7.27563753","7.46762962","7.44666594","7.64282772","7.63183368","7.36916217","7.25248151","7.36430256","","",
"Bosnia and Herzegovina","BIH","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.12181597","7.17721688","7.00540417","8.04377063","9.10645766","9.06968113","9.18762998","9.54887002","9.74147227","9.04409906","9.04325212","9.185819","9.50130795","9.4868973","9.56130986","9.38256029","","",
"Belarus","BLR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.4694793","5.90146798","5.81590463","5.96756225","5.93137295","6.27681332","5.76302156","5.88530597","5.47312729","5.48694215","5.25358456","4.65970944","5.32071235","5.75987524","5.44691172","6.11132497","","",
"Belize","BLZ","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.94179346","4.49453931","4.34792617","4.48670334","4.33540827","4.43937737","4.4515808","4.9168959","5.04745552","5.76753057","5.81318245","5.62318857","5.44295431","5.80400431","5.7877717","6.21022542","","",
"Bermuda","BMU","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.32344063","4.73163936","4.79839921","5.13037741","4.79799109","4.96250759","4.58526001","4.61664191","4.53074593","5.08072997","5.09674297","5.063233","5.12534189","5.52459615","5.77724915","6.41118015","","",
"Brazil","BRA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.37241148","8.569142","8.70036567","8.20454134","8.17050185","8.04198317","8.25931229","8.20935329","8.02144059","8.41739326","7.97347399","7.81721065","7.81654745","7.98836151","8.43189215","8.91148377","","",
"Barbados","BRB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.22861718","5.4203418","5.75539152","6.57765939","6.64709044","6.30664913","6.22641394","6.24855984","6.77805834","6.98373768","6.93276105","7.4027464","8.32163797","8.15293834","7.67989826","7.45704335","","",
"Brunei Darussalam","BRN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.54324771","2.54193896","2.52989703","2.59788566","2.54709627","2.22967588","1.90329323","1.94069532","1.86958547","2.39306613","2.278261","1.86409724","1.8509721","2.12126808","2.16468925","2.62277523","","",
"Bhutan","BTN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.18829875","3.79755088","3.70973618","3.42570848","3.59810801","3.52634223","3.11674057","3.28549194","3.18328444","3.45796152","3.18004807","3.01188169","3.18008052","3.34298809","3.16668863","3.48610414","","",
"Botswana","BWA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.81746631","6.58709992","4.74430497","5.78467497","6.22927421","5.26284678","5.00414503","5.25331187","5.71637698","6.74577338","5.58384014","6.32418968","6.36700225","5.43635119","5.30536553","5.97091586","","",
"Central African Republic","CAF","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.50972319","3.27959548","3.42839143","4.17306952","3.86561475","4.48761767","4.22339167","4.89863129","4.37274389","4.37322902","3.79947257","3.81754788","3.64945224","4.39283339","4.70776949","4.77627738","","",
"Canada","CAN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.27570121","8.6552998","8.88823837","9.04280641","9.09724312","9.06438659","9.20705492","9.29843486","9.46510237","10.57411286","10.56224303","10.21966427","10.22293061","10.11527248","9.98701726","10.43562237","","",
"Central Europe and the Baltics","CEB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.74581681652484","5.95324902133899","6.21677911268921","6.43897111650863","6.41992551658573","6.4199282575573","6.29052141150082","6.23489882375218","6.47249039974453","6.94420472463072","6.85192637804689","6.58066418892829","6.59510233199712","6.77760555485225","6.65978129267787","6.59830263328749","","",
"Switzerland","CHE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.33847088","9.69193829","10.09691399","10.39316498","10.42315851","10.25552601","9.80688646","9.63476584","9.78037499","10.3879994","10.74184623","10.8150671","11.09748916","11.36265439","11.5896008","12.05701692","","",
"Channel Islands","CHI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.03517653","7.15104363","7.26602369","7.33330601","6.90115066","6.58871471","6.03516767","6.17537488","6.74047972","7.20918359","6.77489386","6.77178821","7.02092017","7.35929944","7.612443","8.07108586","","",
"China","CHN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.48986941","4.35354377","4.54528788","4.56107632","4.4090707","4.29369025","4.1599283","3.9967083","4.25663806","4.60359177","4.45772172","4.61926289","4.7930862","4.86611082","4.96416417","5.31586777","","",
"Cote d'Ivoire","CIV","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.67228313","4.85112836","4.47758727","4.64639362","5.2142683","5.35241981","5.80477825","6.25633361","6.12211255","6.22353974","6.1470739","5.94043319","5.95367665","5.0650288","5.19989773","5.43583318","","",
"Cameroon","CMR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.32391142","4.50307593","4.63084593","4.71530292","4.47549592","4.48075366","4.42326348","4.55372649","4.98175334","4.817957","4.98464054","3.75035478","4.99368022","4.92667693","4.9434768","5.11302542","","",
"Congo, Dem. Rep.","COD","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.43925405","2.6443637","2.56217068","3.07967199","3.19874253","3.01677089","3.14454016","3.30767471","3.8647742","5.19987883","4.04224116","3.51891415","3.57940365","3.88066936","4.36001549","4.2713599","","",
"Congo, Rep.","COG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.69392456","2.37584221","1.87626667","2.11587856","2.10554645","1.87587189","1.78239931","1.98728662","2.1909095","2.16249503","2.02563055","1.89927356","2.00164388","2.40305665","2.43787304","3.43391175","","",
"Colombia","COL","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.47484898","5.55831245","5.31646324","5.58068392","5.10562508","5.4713602","5.73355453","5.73759002","6.0297664","6.39277105","6.14410853","5.94200143","6.102471","6.0140621","6.40277332","6.19132764","","",
"Comoros","COM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.11941289","10.94881608","11.15834867","10.57505467","10.2039733","10.06055309","9.67427264","9.44319615","9.10181544","8.74634779","8.7496296","9.47382276","8.29083315","8.28852611","8.04553398","8.04626019","","",
"Cabo Verde","CPV","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.84605667","5.19547432","5.20270524","4.92806158","4.84232364","4.79452278","5.01245137","4.18901101","3.58312578","3.88152673","4.47557722","4.30527433","4.63269543","4.40474279","4.95553334","4.84722016","","",
"Costa Rica","CRI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.54154901","6.4186991","6.8740195","6.98370523","6.64448052","6.69057874","6.96784914","7.02749474","7.50429628","7.88572782","8.0964391","8.44238455","8.13319256","8.29400371","8.15511808","8.14558457","","",
"Caribbean small states","CSS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.03117832446805","4.90972137327166","5.04753315986107","5.12675153007809","5.20655503022629","5.12909980146916","5.04120170335212","5.24516100091518","5.21680473400184","6.02802652784507","5.76450578869361","5.79629353607875","5.85840587853861","5.8997353423334","5.80004651300184","6.22077532662745","","",
"Cuba","CUB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.312016","5.34238735","5.61591572","5.53012386","5.28468639","5.28617016","5.30853318","5.19121611","6.01936231","6.46461028","6.27779476","6.59134564","6.69358401","6.91217119","6.80104056","6.76967432","","",
"Czech Republic","CZE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.73385062","5.90058216","6.21511915","6.57603735","6.39546323","6.39464022","6.20554248","6.02907661","6.37362529","7.30886385","6.94350531","6.97689183","7.02843525","7.8066952","7.65308523","7.30822225","","",
"Germany","DEU","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.83968665","9.87549602","10.12239226","10.35800512","10.13031683","10.27520145","10.12848637","9.9845617","10.18050231","11.16714358","11.03489841","10.74721063","10.80503651","10.96799989","11.05036714","11.15156851","","",
"Djibouti","DJI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1253036","3.94019625","5.03592168","5.58189947","4.66613397","4.52727705","4.89260073","4.79323895","4.47885684","4.51186996","4.29711004","4.73829396","4.63176867","4.09869831","4.13814365","4.38930145","","",
"Dominica","DMA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.67682543","4.61495965","4.71100775","4.58837872","4.31766697","4.58911167","4.54014644","4.66885575","4.54057885","4.95665788","5.06136278","4.64158975","5.38371509","5.04763882","5.16360929","5.42679909","","",
"Denmark","DNK","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.1043807","8.4483269","8.70251179","8.90363048","9.00743094","9.0905709","9.16879674","9.32515549","9.51134351","10.67431683","10.37557581","10.19668712","10.26924257","10.21234699","10.26173761","10.32620701","","",
"Dominican Republic","DOM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.17716215","4.29003692","4.43268396","4.2720832","4.41478277","4.62479485","4.23398214","4.21651692","4.73837132","5.1063667","5.59167671","5.64417477","5.90632106","5.99589083","6.12684589","6.22404145","","",
"Algeria","DZA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.48902103","3.83786507","3.73006347","3.60102667","3.54406344","3.23516785","3.35510356","3.82141742","4.20188259","5.35939813","5.11716997","5.26764985","6.00084141","6.03493093","6.54192588","7.05668786","","",
"East Asia & Pacific (excluding high income)","EAP","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.97221483442516","3.95915124925036","4.07360349291297","4.13719793619217","4.03365159005815","4.02884203353139","3.94872861988515","3.85854484753157","4.0534431248122","4.37656332633042","4.28783065905386","4.41957839590913","4.58502968970651","4.66441090214961","4.7798056797058","5.0889885912216","","",
"Early-demographic dividend","EAR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.62089357045705","4.87388416397775","4.78826579412935","4.91239354700003","4.84519955530743","4.81389981027118","4.74041460203331","4.72583163488002","4.67882943523089","5.02743033329799","4.8876702318093","4.75487944463466","4.8053924137965","4.87464513864125","4.90077520325461","5.10276693571088","","",
"East Asia & Pacific","EAS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.18834789099768","6.24436917690973","6.23993416278287","6.34586548618132","6.32082280600775","6.28329196683469","6.12594697751358","5.95645533689751","6.10912554122934","6.58407988159288","6.4771537971904","6.91588069955524","6.96322774281736","6.70488899362644","6.66662341274002","6.76919652758331","","",
"Europe & Central Asia (excluding high income)","ECA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.02173621085953","5.32224145800678","5.61651126684104","5.52031261003019","5.30923791010178","5.31243626547789","5.31099758402034","5.29584028507634","5.27935584654755","5.84755840980904","5.38510519971112","5.10255715634497","5.25031790365543","5.36570087060161","5.38788859786227","5.25874873069587","","",
"Europe & Central Asia","ECS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.78856770346243","7.98694351028768","8.22561259606846","8.43485612046797","8.41178478269574","8.45446049773084","8.35208966305969","8.2539732143306","8.44163061597109","9.24206968473306","9.02649204227662","8.88288623370254","8.90243711777689","9.14137012298032","9.25125702188728","9.34072212878242","","",
"Ecuador","ECU","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.31536168","3.7375094","4.45759827","5.42488361","5.55083585","5.57840224","5.68721674","5.86400879","6.07842245","6.64913779","7.51893051","7.765416","8.38016013","8.53442772","8.64191941","8.5431596","","",
"Egypt, Arab Rep.","EGY","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.17583064","5.67828269","5.79440486","5.49317365","5.10735627","5.17567317","5.09114457","4.67436552","4.69625907","4.6041067","4.36683865","4.58135803","4.94391493","4.58831011","4.08911985","4.17154673","","",
"Euro area","EMU","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.57514077948526","8.68435058799859","8.89336999019157","9.10355021308313","9.13182850307919","9.28684020041842","9.2117446800615","9.11341488823518","9.39947321636773","10.1269083352768","10.0827843549437","9.97759782691964","10.0842438342504","10.1612282553552","10.2214209426912","10.1921248553401","","",
"Eritrea","ERI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.64497859","5.29518983","5.48348328","5.67850091","5.4250577","5.31210185","5.29248318","4.08505054","4.66381992","4.00004626","3.67293802","3.39088082","3.18760004","3.18699399","3.3678635","3.31743337","","",
"Spain","ESP","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8160619","6.78313377","6.80292358","7.53018064","7.6191456","7.67640382","7.75518882","7.83671201","8.28908822","8.98892964","9.02218513","9.09151309","9.07300093","9.01941268","9.08340734","9.16537519","","",
"Estonia","EST","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.16448435","4.78791354","4.73280764","4.88543903","5.09280262","4.95591487","4.91832388","5.02833859","5.75219921","6.54284987","6.33367988","5.82261993","5.82746489","6.02309675","6.21052418","6.51253969","","",
"Ethiopia","ETH","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.39670675","4.75019976","4.74190368","4.92258206","4.3420665","4.13473134","4.25968777","4.83844068","4.31219295","4.44146016","5.5414362","4.50995277","4.57238968","4.07506484","4.03369147","4.04684368","","",
"European Union","EUU","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.94118837462722","8.12063596437506","8.34439640510413","8.58797084921633","8.62522745034799","8.7487687594294","8.69888876209411","8.63009133151909","8.91928370220233","9.68030074631506","9.59621358925027","9.55307212475238","9.63021963597948","9.91751438780582","9.94485738463687","9.92603956982332","","",
"Fragile and conflict affected situations","FCS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.40298010972011","4.85883658580035","5.01194852193249","4.94134563151249","4.63951617550862","4.12586927363788","4.08539149066337","4.28096514441983","4.08093950849504","4.73848108136864","4.48272632395343","4.42470785850757","4.38687278236712","4.50302339462528","4.85451424071295","5.27259944675599","","",
"Finland","FIN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.83650274","6.98526832","7.35891132","7.66280176","7.79097282","7.99793901","8.00452049","7.82608316","8.08408557","8.8716979","8.86869375","8.94886955","9.29113583","9.49202117","9.48001158","9.44569068","","",
